F:\AMNIS_data\190724\3-lb\data\d06_5.daf
All

Object Number	Area_M01	Area_M02	Aspect Ratio_M01	Aspect Ratio_M02	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Intensity_MC_Ch01	Intensity_MC_Ch02
0	22.5555555555556	18.1111111111111	0.681362813901357	0.667584774910339	68.1654522895507	34.3744067572362	973.7890625	30915.59375
1	24.6666666666667	21.3333333333333	0.606069504105399	0.651040794003351	68.003458129568	35.4700630734771	2241.30303030304	79607.0530303026
2	17.2222222222222	16.3333333333333	0.632713238710694	0.655546733442869	70.1712752859703	41.4688671082912	2045	82068.2890625
3	13.1111111111111	16.4444444444444	0.603299166752611	0.668754832336433	72.8229845549196	43.8324357876845	1694.52941176471	79697.8088235291
4	31.6666666666667	25.4444444444444	0.612252155995648	0.645204807147417	66.5977759091374	31.3524304378666	3657.97426470586	143209.408088236
5	14.3333333333333	12.8888888888889	0.770240396136115	0.71827437733836	67.328657163824	37.1731531491339	301.979999999999	20085.63
6	24.4444444444444	22.7777777777778	0.566169758460608	0.591611212067224	67.0787873585786	38.0668498957364	3645.20833333334	129779.499999999
7	24	20.8888888888889	0.669664378205219	0.70385240455983	66.8453999356721	37.9866317017266	2349.2822580645	101819.875
8	25.5555555555556	23.6666666666667	0.436102746246386	0.498632914222383	68.7091416714844	36.9937691987631	3976.32954545457	143950.117424242
9	24.6666666666667	22	0.594632924113879	0.624092253480954	67.5136481874479	37.4931243297226	2666.18181818183	93182.7500000003
10	12.6666666666667	12.4444444444444	0.72774371801085	0.63451865701253	74.3929351449673	47.2527987075709	1108.265625	43279.0546875
11	9.33333333333333	8.66666666666667	0.909309354414507	0.870186337612107	73.0994062949606	50.5113702472982	655.510000000006	28068.9299999999
12	19.5555555555556	19.7777777777778	0.479368969595109	0.533225281500935	72.4955193023716	44.5050954438675	2586.53333333334	101253.533333333
13	18	15.1111111111111	0.732787073680231	0.722964576406945	68.7871405576706	43.4548700970799	2162.5887096774	72671.5887096776
14	21.3333333333333	18.1111111111111	0.630487915564334	0.590836908266349	69.9229424960473	41.241623284136	2179.71296296297	89644.5648148149
15	25.5555555555556	17.2222222222222	0.691283079604237	0.632600519851061	67.32321791861	29.5183010929952	136.982142857132	15360.3425925926
16	21.1111111111111	35.6666666666667	0.875092666138763	0.983239434008692	70.1664440110722	21.3735054102685	-431.175000000008	5831.4642857143
17	25.7777777777778	16.6666666666667	0.489654390515543	0.411662442486966	74.6928588343025	40.3713002824421	68.9705882352907	14320.3345864661
18	30.6666666666667	25.7777777777778	0.448949329829361	0.4327615063431	71.8114942470029	39.5854988355728	3620.45161290321	135119.717741935
19	25.8888888888889	21.1111111111111	0.563281873899601	0.547038074216164	69.1854110270011	38.1856118512772	2430.66071428574	91303.3660714284
20	24.8888888888889	22.3333333333333	0.484717047763611	0.525320204845959	72.3507349497636	42.3339806263823	3142.66015625	122352.5859375
21	24.2222222222222	55.7777777777778	0.821269101922326	0.996447417591442	67.4766598467313	16.7387021629991	2947.89423076919	123350.557692306
22	19.5555555555556	21.1111111111111	0.55163635943704	0.614520541860847	70.0113531079359	41.5336547166314	2986.97727272727	108995.954545454
23	20.6666666666667	23	0.549208692265853	0.596239431001297	69.4259787811603	37.0225498528071	2122.3230769231	85438.9090909092
24	15.8888888888889	17	0.98956977383979	0.940697389888463	70.1336827774331	41.194742206027	1582.90000000001	55676.0499999999
25	11.5555555555556	16.8888888888889	0.762539898327796	0.909975682326977	71.6176317686484	43.9295674740679	2013.73529411765	86603.2941176469
26	19.3333333333333	17.7777777777778	0.737914302181209	0.735984687297555	66.589800732122	36.6018427348409	1672.08333333332	60244.3916666666
27	19.2222222222222	15.4444444444444	0.735253391189612	0.76876236413303	67.8151325259579	40.4343138028753	1635.26923076924	55630.1923076922
28	10.6666666666667	15	0.854902561941265	0.903895978737089	69.3411435100673	44.6804063774685	2730.5	92701.625
29	16.5555555555556	16.7777777777778	0.704421251004619	0.725707251058722	68.0496483339768	40.5078475793233	1531.08333333334	66593.9722222225
30	19.6666666666667	19.7777777777778	0.528176727715696	0.592053501660149	68.8653960350048	38.1243104015491	2191.796875	80352.8359375
31	14.7777777777778	16.8888888888889	0.628467718456051	0.706539990593178	67.2017844352265	39.2565162179965	1719.33796296297	59701.787037037
32	16.7777777777778	15.2222222222222	0.57460632078296	0.613150102111531	70.8339299932416	42.9286831363487	2187.04838709677	83777.9193548383
33	19.1111111111111	19.1111111111111	0.579446401497323	0.632259424625837	69.7906586375748	40.3068859108411	2508.06451612902	97792.4395161284
34	20.1111111111111	25	0.521276986099425	0.646086846689737	67.7859001670899	39.6091064496817	4576.71323529414	178207.080882354
35	33.4444444444444	26.3333333333333	0.560351314197235	0.510974940983934	67.9141038818277	30.7143442586451	1290.36290322579	33358.7822580644
36	18	17.4444444444444	0.494868000401613	0.562206929606975	72.6219015476965	43.8367414516056	2320.12500000002	91822.2499999998
37	14.5555555555556	15.3333333333333	0.672306273130629	0.739642996385636	69.8529417278461	43.1286454235302	1849.54310344828	70817.6637168144
38	20.1111111111111	21.5555555555556	0.582623323081695	0.628705093490275	66.6652935114211	38.8484326857142	3554.9609375	120773.63671875
39	21.2222222222222	17	0.685563726458261	0.695203559348568	70.5053776093926	38.3298463589581	1128.65277777777	51468.9861111109
40	16.3333333333333	17.1111111111111	0.597028593563806	0.685787696053001	70.92485268727	44.2251836002394	2519.79166666665	97994.3750000003
41	17	16.7777777777778	0.59051472212723	0.615159421993312	71.6101725418608	41.8173718730302	1736.51666666667	70463.6000000002
42	12.6666666666667	16	0.76478779775496	0.823690729125917	67.9628709580442	43.836271016123	2076.43181818182	75797.8181818179
43	29.6666666666667	29.8888888888889	0.479990264394845	0.525498409786298	68.5710085351886	41.2777926317	5414.86428571432	193802.532142859
44	22	23.3333333333333	0.522760235973071	0.571339919194304	69.7144474536441	38.7756422159329	2133.984375	86482.421875
45	17.3333333333333	18	0.625779659022823	0.701297444503447	68.1361771054505	38.1191922980926	1536.63306451613	61888.1532258064
46	19.6666666666667	21.3333333333333	0.491118088296289	0.555881301465467	70.6697989154543	43.1812053051742	3046.00757575756	120262.356060606
47	16.7777777777778	16.8888888888889	0.651054578353122	0.663848495190867	69.1237258007377	40.7922600166058	2175.57142857145	83857.7142857146
48	19.4444444444444	16.4444444444444	0.630090072052967	0.657111821423349	70.9218403856901	43.4141493100871	2102.69921875	85574.0086206897
49	19.7777777777778	17.3333333333333	0.741795118717462	0.762089588345251	66.595455465262	37.2397464557556	1436.18359375	51968.03125
50	16.5555555555556	20.3333333333333	0.503743626129163	0.662580975880767	71.3437031434744	44.872171395125	3348.70229007636	127377
51	17.1111111111111	17.5555555555556	0.579893136342089	0.63958928498432	69.5405298041808	41.5660961000705	2650.16666666665	84908.5833333331
52	29.5555555555556	30.8888888888889	0.655292095972749	0.731150055782216	73.3787873258537	34.0471104668728	5747.7432432433	227503.070945947
53	19.7777777777778	20.2222222222222	0.464601321307146	0.513694060114391	73.0749375817495	44.5003891531644	2693.40740740741	100810.222222222
54	27.4444444444444	22.8888888888889	0.595932217993784	0.617627075640129	66.9572146068436	36.8170959107491	2889.28787878789	122017.795454544
55	25.6666666666667	24.7777777777778	0.481679478853608	0.492356389523767	67.6616758085635	34.5707742754085	2569.40740740743	91446.1296296292
56	12.6666666666667	11.8888888888889	0.67969489746656	0.723955260562827	71.8232190000671	46.4596315661656	1361.28879310345	49339.5603448278
57	27.2222222222222	27.7777777777778	0.402177297010867	0.43667610348695	70.206219069479	39.2197914452931	3755.94117647061	145795.411764705
58	26.2222222222222	21.1111111111111	0.767399089662943	0.772730238889275	74.2321477444101	38.2118485922	1990.81578947369	106133.296052631
59	20.2222222222222	23.8888888888889	0.534274073971684	0.566371115286955	67.3236990600315	37.6221996494748	3890.390625	142823.4296875
60	31.5555555555556	27.8888888888889	0.553555189598962	0.555254853958631	66.8362751997756	32.1221527300439	2692.49999999996	107119.333333334
61	22.5555555555556	19.4444444444444	0.526274624579804	0.542734909425747	69.5790657714416	38.384198289978	2137.19354838707	87365.6612903223
62	15	13.2222222222222	0.78357055259382	0.736136763607406	68.7656224326559	40.6892629272507	1137.88888888888	44200.0555555553
63	14.4444444444444	9.77777777777778	0.984338617117774	0.891648071329012	70.3598630223204	43.150971672416	458.555555555558	12644.8611111112
64	28.4444444444444	21.8888888888889	0.530606919002776	0.519561595097405	70.6540734634291	40.4266252544609	2337	86096
65	12.3333333333333	7.88888888888889	0.651297597678992	0.627197170669837	75.4220129119584	46.3811130451903	256.129629629627	14628.6018518519
66	19.8888888888889	17.4444444444444	0.619557274155972	0.659391414531662	70.2401117520237	43.5495620933869	2135.24242424243	92200.742424242
67	16.1111111111111	19.4444444444444	0.574923210310926	0.624826679988956	68.2739760302662	42.7739084552105	3817.64516129032	134747.258064516
68	23.5555555555556	20.1111111111111	0.574586978357657	0.596521593453309	67.2882671995607	39.4862807696995	2403.29435483873	90561.8911290325
69	20.4444444444444	16.4444444444444	0.685409253918984	0.69437368427054	69.2606131634323	41.259688897788	2377	83901.25
70	25.2222222222222	20.7777777777778	0.490044789908167	0.507819964664278	70.2709417225796	42.574054041993	2953.73863636365	117994.818181818
71	23.6666666666667	15.8888888888889	0.604126669554144	0.589706016704826	69.5341159374343	37.0782879181107	1124.29838709677	34926.875
72	27.5555555555556	19.5555555555556	0.607027221494681	0.590127971706718	67.146182499993	34.117131098708	2424.1388888889	87821.1666666664
73	9.44444444444444	11	0.930654441588603	0.99019803906642	73.1050466065709	49.4731177248804	1398.18103448276	47593.896551724
74	19.1111111111111	9.55555555555555	0.716859526295594	0.752560473835241	66.6776987378811	37.3802019362667	371.96875	15058.36328125
75	30.7777777777778	27.4444444444444	0.602056303830725	0.64271891159668	68.4543153431837	34.2756497606824	5747.21052631583	210861.210526316
76	29.6666666666667	23.2222222222222	0.477584690043123	0.478887884606467	70.0621429457197	40.2771662032331	3553.35483870969	143614.35483871
77	17.2222222222222	15.2222222222222	0.611954231166404	0.591054705282116	71.2983053727725	44.3300063186739	2097.81666666665	81311.5333333332
78	17.2222222222222	14.7777777777778	0.796702230205719	0.826373957126937	67.3766528847919	43.387312559846	1633.76388888889	63852.0277777775
79	15.7777777777778	16.3333333333333	0.59976147056897	0.692114808235342	70.8962423670242	43.9492468091993	2218.52272727272	81265.25
80	28.5555555555556	24	0.567871235035429	0.587617509634121	67.3409047900166	33.5213043791785	2895.71691176469	113630.775735294
81	27	21.4444444444444	0.537707986906336	0.537182502448641	68.4748714947541	38.2600182748505	2866.08571428571	109022
82	21.2222222222222	16.7777777777778	0.642292262294555	0.643684272423075	68.4592044413199	40.919384734057	2119.51136363635	80605.9204545456
83	14.2222222222222	15.3333333333333	0.918111960152943	0.967449446625051	71.7928003938058	42.6485098145279	1826.23148148148	73699.7222222224
84	17.2222222222222	19	0.662594884480995	0.705363240491622	69.1250132060181	37.2927560229223	2535.34090909093	97714.1590909087
85	27.1111111111111	26.2222222222222	0.388578408476779	0.411028749824397	72.8233294595463	41.7551182640237	3473.6585365854	132198.245967742
86	21.5555555555556	17	0.638596939175874	0.643809048836535	68.3114963478529	41.0928555293991	1848.05555555556	71469.7777777776
87	28.2222222222222	25	0.485841157109709	0.503661114570853	69.724544717172	38.4295239687091	3542	141360.951612904
88	23.6666666666667	18.5555555555556	0.558366685878913	0.55319978105989	69.8772073014885	41.2329341378481	2441.83333333331	88705.1551724136
