F:\AMNIS_data\190724\3-lb\data\b06_11.daf
All

Object Number	Area_M01	Area_M02	Aspect Ratio_M01	Aspect Ratio_M02	Gradient RMS_M01_Ch01	Gradient RMS_M02_Ch02	Intensity_MC_Ch01	Intensity_MC_Ch02
0	30.4444444444444	23.6666666666667	0.456236263592118	0.437080984228308	70.1185365136483	38.5583066399002	1959.47767857141	82969.3928571425
1	20.1111111111111	18	0.728640424173323	0.656646832854829	68.8051123047092	37.633679155949	945.277777777772	43512.8333333332
2	23.6666666666667	19.7777777777778	0.624283800677465	0.591100000372665	68.1580989509326	39.6531334821408	2832.5078125	104035.9765625
3	28.5555555555556	19.6666666666667	0.608322951218436	0.559644692665628	68.5676985420797	31.2570777459772	-172.220588235296	7733.89705882348
4	22.7777777777778	14.6666666666667	0.569726496239469	0.548490358089592	72.24196659866	41.5315092993514	826.784999999994	38606.4249999998
5	27.1111111111111	19.1111111111111	0.587044357631964	0.54690523638396	68.8125474214822	33.6618547109652	659.705645161274	37599.7943548387
6	9.88888888888889	7.44444444444444	0.847296391374529	0.901481042107283	72.7341958314291	48.1872135163881	365.000000000004	15881.5
7	33.4444444444444	22.8888888888889	0.459729607227047	0.425563216505108	70.5035868605993	37.6636416595942	2609.72580645161	76006.1935483868
8	20.8888888888889	66	0.668282675988994	0.990241620579786	67.7592937352351	15.8021003292458	1665.85714285715	57451.3214285718
9	24.7777777777778	58.1111111111111	0.702313912946247	0.98766953381086	68.0426163061364	14.1414657464364	874.412790697654	45677.9156976741
10	27.6666666666667	22.7777777777778	0.605393910561805	0.621441297594	67.6795848515435	33.221242080307	519.161016949156	34526.4677419354
11	22.3333333333333	17	0.676145707805285	0.709783373552386	67.1744485458278	35.4241729586128	558.419354838705	26472.2903225807
12	18	17.6666666666667	0.520117355911146	0.575620908738222	70.726575141814	43.3080968995996	2000.17741935485	81214.9193548389
13	19.3333333333333	14.1111111111111	0.713024751062696	0.675378076146707	68.6715618335879	39.7852257859082	857.249999999991	25765.9999999999
14	18.6666666666667	22.1111111111111	0.505379384557649	0.581901005062371	71.8337391286991	45.3305201345128	3580.3125	132367.382352941
15	20.2222222222222	18.7777777777778	0.731865615142105	0.700472707433676	68.4540214697157	40.0282988796344	2318.76953125	93475.3828125
16	24	18.8888888888889	0.588399265070083	0.5876402076126	68.3944572425885	33.3658980882636	473.258620689665	28206.2068965517
17	25.4444444444444	24.1111111111111	0.408353564329935	0.447194471888692	70.7840590259254	39.7034822615817	2841.7777777778	107632.291666666
18	28.1111111111111	24.2222222222222	0.551119885180898	0.56353764115444	69.1147627505687	39.2295803233584	3181.48333333337	130032.783333334
19	24.3333333333333	14.3333333333333	0.570550564911054	0.506087947040128	71.4729916380342	40.6339832764329	1359.56666666666	47143.7083333335
20	22.7777777777778	14.3333333333333	0.630072545688512	0.584474114292008	68.768887345944	39.0972601915209	861.666666666653	35039.3240740742
21	19.7777777777778	19.1111111111111	0.54845265317469	0.59152876655205	70.8072855953511	41.915077143241	2390.8359375	89748.6328125
22	29.5555555555556	64.1111111111111	0.667922497923525	0.985396306152873	68.293419481584	19.376852722484	828.231707317076	28563.1463414639
23	21.3333333333333	14.1111111111111	0.748162546809937	0.755737559141315	67.4882560427121	37.0900267432166	1020.66666666665	34621.3333333334
24	25.6666666666667	20.8888888888889	0.62620876291702	0.637952867297807	71.1036175801386	39.1610417831832	1694.79032258065	67367.4072580646
25	27.2222222222222	17.3333333333333	0.580716594697872	0.577355370829817	70.9032980369713	38.0304210187479	1098.36250000001	37759.9083333334
26	15.8888888888889	16.2222222222222	0.863863196642505	0.842631575975173	67.0710325235211	43.7754736022344	2175.00000000002	74482.2500000001
27	11.5555555555556	0	0.734677062159154	0	74.0024214772152	0	-83.0324074074097	-51.1481481481481
28	15.7777777777778	15.2222222222222	0.625389901033538	0.660833591812402	70.7173796556771	43.3480959184726	1621.41129032258	64086.1733870966
29	21.6666666666667	16.5555555555556	0.634977422932394	0.618771579729056	70.4626690927258	42.0684513616475	1722.09259259261	63436.3703703705
30	15.3333333333333	9.44444444444444	0.917286820943902	0.959310948035512	70.7592538675157	43.863110035726	582.651785714281	18500.1964285714
31	19.4444444444444	12.2222222222222	0.785640282969116	0.755914829799506	67.8114187330727	39.6749431001917	531.456896551732	24317.0517241379
32	15.6666666666667	14	0.905941414704948	0.885254399617771	69.030232829243	44.6215647165076	964.062499999993	39245.6458333334
33	10.6666666666667	0	0.73420950129813	0	74.7095199739608	0	-155.888888888884	47.3888888888888
34	11.1111111111111	13.3333333333333	0.737047007659129	0.812947695657556	69.1172835874674	46.1547035419104	1710.10887096774	60515.3024193547
35	27.8888888888889	22.6666666666667	0.471253117949632	0.440202125245624	69.8654032730183	38.2389271628229	2124.70454545453	76871.2878787876
36	9.44444444444444	0	0.846093482141508	0	75.229065251085	0	-152.066666666667	53.9398148148148
37	32.8888888888889	14.6666666666667	0.731034613202202	0.526504735919354	68.6291421090734	42.2238795498024	1011.5347222222	42457.7708333337
38	24.6666666666667	17.5555555555556	0.622922610319147	0.610021046377435	69.9465504187908	39.5240467224864	1200.72413793103	43959.8620689653
39	18.5555555555556	12.3333333333333	0.713608944149658	0.669392608424718	70.1972228739237	41.7712378255411	631.310344827593	31306.25
40	17.7777777777778	14.7777777777778	0.452221222075106	0.462338780288804	74.9535778246542	45.0859546636591	695.666666666653	37387.5833333333
41	26.2222222222222	13.6666666666667	0.479814779543536	0.903726765837141	71.7169770040735	46.9324302539466	1764.32520325202	75038.796875
42	18.2222222222222	13.6666666666667	0.62315023243886	0.577575832216328	72.0661195408141	44.4568272277698	953.68103448275	42722.9224137931
43	23.8888888888889	26.3333333333333	0.427207581772376	0.517762970054585	70.616563863585	42.1590496742541	3544.43951612905	148631.104838709
44	26.7777777777778	21.8888888888889	0.580022555407382	0.573652956259197	67.2381925134111	34.2367745544938	1720.15625	58370.71875
45	15.5555555555556	11	0.645381605493307	0.878759491800345	71.0078204072139	46.1929532468676	710.662499999993	35185.9125
46	21.2222222222222	13.8888888888889	0.625603778779812	0.622777950573096	69.4857121436444	40.7346708557045	1070.0568181818	40418.659090909
47	21.1111111111111	18.4444444444444	0.534199465836026	0.529862565622686	70.2252506642683	39.936368757249	1983.0125	65046.9291666666
48	11.5555555555556	0	0.909665322276345	0	72.5602064174152	0	-161.888888888883	-18.2592592592594
49	16.1111111111111	11.4444444444444	0.822794487273352	0.791961222129863	69.4757942759972	43.9764249043091	584.301724137922	30997.8620689656
50	26	19.6666666666667	0.610830080689686	0.606071160542929	67.9423345798935	34.8231006643859	1034.97727272727	41056.8636363637
51	24.1111111111111	19.6666666666667	0.495859814035525	0.49439268387988	71.1313061330597	38.9851368774564	2562.71681415927	64173.2750000001
52	19.7777777777778	22.3333333333333	0.556250354085723	0.622096517935376	68.3873681618286	41.027001609893	3367.84848484851	126907.636363637
53	21.1111111111111	16.4444444444444	0.675165535288397	0.73134405601192	67.7543463620391	36.9072109588739	1182.86363636363	37066.265151515
54	15.6666666666667	14.3333333333333	0.568585516623028	0.536986949138477	72.2282945700484	41.7451939362255	931.396551724137	37255.0862068967
55	23.1111111111111	20.3333333333333	0.433094188989618	0.457815043643385	73.5398084733133	42.5568475064643	1653	71710.9999999999
56	20.6666666666667	31.2222222222222	0.376769922587768	0.624572776826608	70.0851522087753	40.6102926659848	5634.26923076927	205007.038461539
57	23.4444444444444	31.3333333333333	0.382562785746909	0.483276056049999	68.0348439684098	41.2794323699405	6861.375	244900.999999999
58	28.1111111111111	24.3333333333333	0.551319374841968	0.563250164169163	69.1837279916164	35.4340586533072	1868.95967741934	75420.8064516125
59	16.8888888888889	13.4444444444444	0.589304306198709	0.543980650676254	73.3822650496019	44.6955366583755	840.416666666663	38714.5
60	19.2222222222222	15.1111111111111	0.639813799108081	0.621668762919546	69.5802627902961	37.5288350482885	942.25	34559.3173076922
61	21.5555555555556	18.8888888888889	0.512429249705645	0.518488384505165	70.9110317586225	40.4704645128303	1869.40625	72081.8125
62	32.6666666666667	24.4444444444444	0.495966692280994	0.486443603201603	69.5992561872668	36.0175841226783	1178.725	46066.4875000003
