id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed	Norm_GFP	Norm_Red
0	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n0_x420_y369	240.341	97.946	0.901636852007193	0.9989917875543897
1	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n1_x270_y358	219.642	98.025	0.8239847610210654	0.9997975412474124
2	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n2_x477_y356	214.956	98.074	0.8064052789996637	1.0002973125253631
3	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n3_x457_y360	197.9	98.247	0.7424198659913352	1.0020618111189443
4	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n4_x418_y361	222.13	97.87	0.8333184680780964	0.9982166321028743
5	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n5_x174_y349	230.819	97.935	0.865915164468186	0.9988795940021967
6	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n6_x183_y347	173.272	98.247	0.6500281708946469	1.0020618111189443
7	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n7_x154_y339	198.39	98.185	0.7442580960789337	1.0014294474611292
8	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n8_x410_y343	199.404	97.731	0.7480621069132704	0.9967989135797077
9	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n9_x462_y344	247.471	97.917	0.9283849755267394	0.9986960045531535
10	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n10_x189_y336	191.216	98.168	0.717344907000501	1.0012560574259217
11	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n11_x163_y339	245.394	97.992	0.9205931308493063	0.9994609605908333
12	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n12_x455_y336	263.767	98.086	0.9895192561543027	1.000419705491392
13	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n13_x429_y334	240.301	97.878	0.9014867924082053	0.9982982274135601
14	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n14_x378_y333	209.598	97.843	0.7863047957152698	0.9979412479293096
15	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n15_x143_y323	169.708	98.278	0.6366578606248485	1.002377992947852
16	pBGT-AMP-Pulse_xy21_GFP_024.tif	pBGT-AMP-Pulse_xy21_DsRed_024.tif	xy21	24	roi_f24_n16_x448_y332	229.767	98.308	0.8619685970148111	1.002683975362924
