id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed	Norm_GFP	Norm_Red
0	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n0_x417_y383	186.739	98.256	0.7005494863838098	1.002153605843466
1	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n1_x422_y331	165.278	97.965	0.6200387600369677	0.9991855764172686
2	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n2_x373_y376	230.762	98.191	0.8657013295396286	1.0014906439441436
3	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n3_x282_y385	207.513	98.103	0.7784829391180391	1.0005930955265991
4	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n4_x480_y355	233.726	97.976	0.8768207458246124	0.9992977699694616
5	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n5_x312_y362	250.211	97.907	0.9386640580573925	0.9985940104147962
6	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n6_x262_y370	207.719	97.712	0.7792557460528254	0.9966051247168289
7	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n7_x370_y361	359.427	97.872	1.3483867871332373	0.9982370309305457
8	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n8_x144_y362	206.253	98.04	0.7737560617499285	0.9999505324549484
9	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n9_x322_y362	258.48	97.976	0.9696851286581119	0.9992977699694616
10	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n10_x332_y363	194.264	97.991	0.7287794484433591	0.9994507611769975
11	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n11_x305_y339	203.343	97.955	0.7628392259235779	0.9990835822789113
12	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n12_x274_y352	184.318	98.094	0.691467129155083	1.0005013008020776
13	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n13_x397_y353	264.371	97.629	0.991785156099016	0.9957585733684634
14	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n14_x404_y340	246.951	97.725	0.9264342007399	0.9967377170966933
15	pBGT-AMP-Pulse_xy13_GFP_021.tif	pBGT-AMP-Pulse_xy13_DsRed_021.tif	xy13	21	roi_f21_n15_x296_y346	255.567	97.801	0.9587570383618371	0.9975128725482089
