 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n0_x297_y290	188.139	97.752
2	1	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n1_x151_y397	189.605	98.682
3	2	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n2_x138_y386	264.733	98.199
4	3	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n3_x151_y373	230.944	98.181
5	4	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n4_x424_y383	215.355	98.012
6	5	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n5_x282_y369	472.174	98.105
7	6	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n6_x244_y372	405.660	98.079
8	7	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n7_x219_y375	251.435	97.994
9	8	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n8_x405_y370	216.769	97.795
10	9	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n9_x167_y372	203.530	98.052
11	10	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n10_x494_y361	260.832	98.028
12	11	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n11_x184_y372	225.730	97.850
13	12	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n12_x429_y363	193.431	97.777
14	13	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n13_x346_y368	200.115	97.935
15	14	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n14_x371_y357	237.969	97.932
16	15	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n15_x265_y352	241.085	98.178
17	16	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n16_x146_y363	258.870	98.312
18	17	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n17_x140_y356	225.972	97.907
19	18	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n18_x308_y348	228.955	97.583
20	19	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n19_x169_y358	254.125	98.295
21	20	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n20_x196_y359	226.198	98.057
22	21	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n21_x333_y353	235.490	97.856
23	22	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n22_x135_y350	213.951	98.117
24	23	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n23_x347_y353	216.516	98.147
25	24	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n24_x222_y351	266.963	97.988
26	25	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n25_x244_y352	273.795	97.917
27	26	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n26_x435_y339	207.735	97.536
28	27	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n27_x392_y349	230.255	97.624
29	28	pBGT-AMP-Pulse_xy29_GFP_021.tif	pBGT-AMP-Pulse_xy29_DsRed_021.tif	xy29	021	roi_f21_n28_x316_y342	244.724	97.514
