 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n0_x456_y407	175.770	101.050
2	1	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n1_x177_y406	173.008	101.186
3	2	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n2_x348_y397	214.750	99.013
4	3	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n3_x286_y400	177.510	100.020
5	4	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n4_x477_y397	201.006	100.331
6	5	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n5_x426_y390	164.226	101.722
7	6	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n6_x336_y392	194.010	99.317
8	7	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n7_x229_y387	171.889	99.743
9	8	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n8_x145_y385	175.319	99.737
10	9	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n9_x183_y386	167.621	100.614
11	10	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n10_x380_y377	190.219	99.629
12	11	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n11_x215_y377	168.311	100.365
13	12	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n12_x467_y371	180.411	100.274
14	13	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n13_x294_y382	205.195	100.184
15	14	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n14_x498_y370	160.595	100.601
16	15	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n15_x389_y374	194.697	99.495
17	16	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n16_x389_y353	211.634	98.302
18	17	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n17_x341_y373	192.119	99.287
19	18	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n18_x226_y369	192.047	100.260
20	19	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n19_x474_y361	259.948	98.690
21	20	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n20_x307_y373	213.953	98.739
22	21	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n21_x283_y367	271.051	98.842
23	22	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n22_x202_y361	166.880	101.213
24	23	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n23_x335_y356	237.126	98.615
25	24	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n24_x430_y357	181.163	100.923
26	25	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n25_x222_y356	218.070	99.643
27	26	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n26_x349_y354	210.281	99.014
28	27	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n27_x360_y346	172.088	100.816
29	28	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n28_x327_y348	186.578	100.273
30	29	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n29_x404_y351	176.460	100.056
31	30	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n30_x379_y353	200.452	99.409
32	31	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n31_x294_y340	234.475	102.095
33	32	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n32_x271_y355	206.368	99.573
34	33	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n33_x369_y341	212.510	100.257
35	34	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n34_x305_y349	243.784	99.336
36	35	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n35_x254_y350	165.678	101.253
37	36	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n36_x483_y344	157.930	100.058
38	37	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n37_x395_y331	199.992	98.173
39	38	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n38_x456_y336	158.244	100.716
40	39	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n39_x426_y330	195.190	101.600
41	40	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n40_x278_y339	201.369	99.922
42	41	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n41_x194_y338	175.627	100.288
43	42	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n42_x225_y335	213.462	100.417
44	43	pBGT-AMP-Pulse_xy27_GFP_039.tif	pBGT-AMP-Pulse_xy27_DsRed_039.tif	xy27	039	roi_f39_n43_x342_y324	249.049	98.165
