 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n0_x419_y394	196.181	99.701
2	1	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n1_x485_y417	197.485	100.379
3	2	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n2_x179_y406	178.965	102.734
4	3	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n3_x348_y396	226.106	99.216
5	4	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n4_x286_y399	183.858	101.216
6	5	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n5_x321_y390	196.168	100.693
7	6	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n6_x426_y389	177.018	103.808
8	7	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n7_x481_y391	215.730	100.075
9	8	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n8_x337_y391	207.081	99.576
10	9	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n9_x229_y388	176.855	100.256
11	10	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n10_x146_y386	183.963	99.858
12	11	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n11_x183_y387	177.570	102.094
13	12	pBGT-AMP-Pulse_xy27_GFP_037.tif	pBGT-AMP-Pulse_xy27_DsRed_037.tif	xy27	037	roi_f37_n12_x216_y377	177.367	100.980
