 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n0_x306_y370	224.842	128.291
2	1	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n1_x138_y348	237.599	150.976
3	2	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n2_x157_y363	166.005	157.695
4	3	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n3_x291_y357	241.130	123.870
5	4	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n4_x266_y354	313.928	132.197
6	5	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n5_x255_y353	147.904	163.506
7	6	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n6_x365_y337	302.935	118.005
8	7	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n7_x162_y333	199.865	128.243
9	8	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n8_x311_y337	224.309	118.901
10	9	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n9_x342_y331	232.481	119.333
11	10	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n10_x263_y329	145.444	160.592
12	11	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n11_x294_y327	221.224	141.490
13	12	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n12_x323_y312	218.154	117.291
14	13	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n13_x361_y311	303.411	114.812
15	14	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n14_x312_y317	242.597	115.697
16	15	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n15_x145_y318	287.406	127.971
17	16	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n16_x301_y315	327.874	138.856
18	17	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n17_x190_y313	217.910	141.750
19	18	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n18_x377_y311	296.948	114.268
20	19	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n19_x342_y310	248.640	117.130
21	20	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n20_x275_y298	149.864	156.514
22	21	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n21_x369_y307	280.175	112.714
23	22	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n22_x157_y300	400.073	136.817
24	23	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n23_x351_y300	243.587	114.278
25	24	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n24_x305_y299	258.008	120.967
26	25	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n25_x287_y299	277.393	149.800
27	26	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n26_x138_y297	275.877	136.754
28	27	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n27_x313_y288	216.109	143.837
29	28	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n28_x372_y291	255.638	113.554
30	29	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n29_x337_y286	245.063	134.063
31	30	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n30_x276_y281	290.165	147.294
32	31	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n31_x372_y277	268.201	114.442
33	32	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n32_x329_y276	254.487	115.609
34	33	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n33_x292_y277	228.574	120.270
35	34	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n34_x348_y275	235.580	115.277
36	35	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n35_x303_y273	252.202	123.844
37	36	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n36_x357_y274	241.274	138.443
38	37	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n37_x314_y267	215.329	149.285
39	38	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n38_x262_y268	306.036	144.486
40	39	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n39_x384_y259	202.542	149.226
41	40	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n40_x336_y268	261.910	133.756
42	41	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n41_x377_y257	222.785	146.190
43	42	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n42_x286_y261	248.423	115.240
44	43	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n43_x318_y259	254.484	118.871
45	44	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n44_x344_y257	254.016	119.528
46	45	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n45_x368_y248	271.667	117.096
47	46	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n46_x291_y254	258.248	117.530
48	47	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n47_x321_y250	313.535	112.007
49	48	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n48_x360_y250	192.576	145.788
50	49	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n49_x394_y240	277.053	115.669
51	50	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n50_x254_y245	308.263	146.309
52	51	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n51_x307_y248	256.530	115.136
53	52	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n52_x287_y241	222.953	114.308
54	53	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n53_x273_y242	279.538	138.947
55	54	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n54_x343_y239	222.113	142.440
56	55	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n55_x334_y246	249.733	116.450
57	56	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n56_x319_y229	238.500	113.145
58	57	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n57_x296_y235	249.194	136.476
59	58	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n58_x379_y223	271.808	115.062
60	59	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n59_x348_y233	287.248	119.178
61	60	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n60_x305_y231	251.669	114.551
62	61	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n61_x388_y223	292.985	114.246
63	62	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n62_x267_y226	230.561	147.879
64	63	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n63_x175_y214	218.310	137.100
65	64	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n64_x356_y225	222.744	121.097
66	65	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n65_x256_y213	239.498	138.689
67	66	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n66_x294_y213	209.976	124.850
68	67	pBGT-AMP-Pulse_xy40_GFP_032.tif	pBGT-AMP-Pulse_xy40_DsRed_032.tif	xy40	032	roi_f32_n67_x332_y218	282.824	116.059
