 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n0_x479_y416	198.759	100.814
2	1	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n1_x461_y385	203.168	99.620
3	2	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n2_x470_y399	213.391	99.991
4	3	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n3_x496_y396	178.400	100.086
5	4	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n4_x438_y384	184.671	98.912
6	5	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n5_x214_y390	188.296	104.728
7	6	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n6_x328_y388	199.339	99.200
8	7	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n7_x475_y379	201.944	99.072
9	8	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n8_x488_y381	187.059	98.971
10	9	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n9_x420_y363	203.715	98.355
11	10	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n10_x483_y359	179.677	98.258
12	11	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n11_x452_y352	191.912	98.059
13	12	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n12_x428_y350	189.533	98.118
14	13	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n13_x472_y350	204.024	98.250
15	14	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n14_x461_y349	182.139	98.139
16	15	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n15_x409_y283	189.347	97.959
17	16	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n16_x480_y334	179.935	98.299
18	17	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n17_x262_y333	205.417	100.400
19	18	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n18_x470_y322	185.324	98.230
20	19	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n19_x457_y315	195.431	98.303
21	20	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n20_x272_y324	228.979	98.753
22	21	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n21_x431_y300	208.961	98.000
23	22	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n22_x243_y318	210.175	108.113
24	23	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n23_x475_y293	223.209	98.133
25	24	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n24_x447_y312	176.168	98.040
26	25	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n25_x255_y317	231.405	99.524
27	26	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n26_x482_y310	197.297	99.378
28	27	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n27_x433_y281	209.422	97.830
29	28	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n28_x483_y292	177.946	98.189
30	29	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n29_x492_y291	195.327	99.316
31	30	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n30_x462_y284	211.778	97.987
32	31	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n31_x238_y279	263.908	98.598
33	32	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n32_x254_y270	218.915	98.100
34	33	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n33_x443_y281	187.261	98.102
35	34	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n34_x460_y273	186.123	98.197
36	35	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n35_x475_y276	202.500	98.128
37	36	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n36_x491_y276	174.486	98.114
38	37	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n37_x457_y247	199.843	98.074
39	38	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n38_x232_y259	186.560	102.517
40	39	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n39_x437_y250	231.293	98.085
41	40	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n40_x411_y254	209.107	98.025
42	41	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n41_x485_y251	198.976	98.341
43	42	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n42_x480_y241	209.335	98.126
44	43	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n43_x424_y243	235.756	97.943
45	44	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n44_x222_y245	221.382	107.057
46	45	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n45_x445_y226	224.093	98.263
47	46	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n46_x411_y235	254.645	97.970
48	47	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n47_x466_y238	203.436	98.085
49	48	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n48_x435_y231	241.145	98.039
50	49	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n49_x494_y219	223.280	98.184
51	50	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n50_x397_y224	216.103	97.948
52	51	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n51_x193_y213	354.636	98.982
53	52	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n52_x167_y214	256.728	104.734
54	53	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n53_x467_y212	205.535	98.020
55	54	pBGT-AMP-Pulse_xy11_GFP_035.tif	pBGT-AMP-Pulse_xy11_DsRed_035.tif	xy11	035	roi_f35_n54_x238_y218	206.789	103.113
