id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed	Norm_GFP	Norm_Red
0	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n0_x348_y375	121.842	122.63	0.9980280463618766	1.138201745426517
1	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n1_x204_y372	121.151	122.71	0.9923679506638737	1.1389442728638008
2	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n2_x180_y368	123.138	119.283	1.0086437974828775	1.107136253769153
3	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n3_x143_y369	123.571	119.733	1.0121905723558662	1.111312970603875
4	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n4_x121_y370	121.957	118.602	0.9989700304505456	1.100815488959274
5	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n5_x382_y365	122.463	121.268	1.0031147604406894	1.125560215806759
6	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n6_x361_y360	121.065	119.866	0.991663510388869	1.1125474224683591
7	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n7_x113_y365	123.016	118.704	1.0076444752322895	1.1017622114418109
8	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n8_x440_y366	123.031	119.969	1.0077673427221159	1.1135034265438621
9	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n9_x423_y369	122.192	119.753	1.0008949544578258	1.1114986024631957
10	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n10_x129_y366	122.412	116.931	1.0026970109752797	1.085305947113007
11	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n11_x199_y364	122.991	119.706	1.0074396960825787	1.1110623675937914
12	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n12_x412_y364	121.864	120.272	0.998208252013622	1.1163157492125748
13	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n13_x475_y357	119.573	117.615	0.9794422907341365	1.0916545567017841
14	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n14_x233_y355	120.189	119.487	0.9844880489830072	1.1090296987342267
15	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n15_x467_y357	121.031	118.504	0.9913850107452626	1.0999058928486014
16	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n16_x339_y356	121.961	118.908	0.9990027951144993	1.103655656406885
17	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n17_x151_y358	123.436	117.795	1.0110847649474286	1.093325243435673
18	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n18_x159_y359	121.506	117.944	0.9952758145897652	1.094708200787614
19	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n19_x422_y358	121.186	119.729	0.9926546414734687	1.1112758442320105
20	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n20_x195_y356	121.124	118.702	0.9921467891821862	1.101743648255879
21	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n21_x167_y355	121.698	117.104	0.996848518459543	1.0869116626961335
22	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n22_x405_y356	122.418	118.993	1.0027461579712103	1.104444591808999
23	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n23_x218_y355	122.629	117.887	1.0044744939947683	1.0941791499885494
24	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n24_x438_y349	121.522	117.087	0.9954068732455801	1.0867538756157107
25	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n25_x387_y345	120.545	117.713	0.9874041040748872	1.092564152812457
26	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n26_x450_y348	121.959	117.082	0.9989864127825225	1.0867074676508803
27	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n27_x259_y354	121.694	118.986	0.9968157537955894	1.1043796206582366
28	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n28_x378_y343	121.441	117.226	0.9947433888005175	1.0880440170379915
29	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n29_x339_y342	120.401	119.527	0.9862245761725538	1.109400962452869
30	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n30_x352_y343	122.126	117.806	1.0003543375025898	1.0934273409582995
31	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n31_x245_y351	121.576	118.339	0.9958491962089551	1.0983744300092033
32	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n32_x177_y345	122.548	116.521	1.0038110095497057	1.0815004939969273
33	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n33_x125_y340	121.752	115.6	0.9972908414229181	1.0729521468751966
34	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n34_x464_y339	120.929	117.11	0.9905495118144431	1.0869673522539298
35	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n35_x196_y340	122.815	118.598	1.0059980508686157	1.10077836258741
36	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n36_x117_y339	122.046	116.578	0.9996990442235156	1.082029544795992
37	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n37_x111_y337	120.958	118.025	0.9907870556281074	1.0954600098178642
38	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n38_x408_y335	121.874	116.838	0.9982901636735062	1.0844427589671646
39	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n39_x231_y334	121.548	116.071	0.9956198435612792	1.0773237771622055
40	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n40_x420_y337	122.429	115.688	1.002836260797083	1.073768927056209
41	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n41_x279_y334	119.943	117.333	0.9824730221498543	1.0890371474853586
42	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n42_x433_y335	121.859	116.141	0.9981672961836797	1.077973488669829
43	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n43_x147_y333	121.84	114.924	0.9980116640298997	1.066677790030148
44	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n44_x211_y333	122.766	116.377	1.0055966837351829	1.0801639446098164
45	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n45_x176_y332	123.562	115.344	1.0121168518619703	1.0705760590758882
46	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n46_x238_y333	121.688	116.247	0.9967666067996589	1.07895733752423
47	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n47_x474_y325	119.508	114.742	0.9789098649448887	1.0649885401103272
48	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n48_x449_y329	122.375	115.511	1.002393937833708	1.0721260851012184
49	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n49_x188_y328	122.355	115.036	1.0022301145139394	1.0677173284423453
50	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n50_x365_y321	121.114	116.013	0.992064877522302	1.0767854447701748
51	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n51_x457_y322	121.84	115.512	0.9980116640298997	1.0721353666941844
52	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n52_x377_y319	121.379	116.203	0.994235536509235	1.078548947433724
53	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n53_x345_y322	122.139	116.639	1.0004608226604392	1.0825957219669209
54	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n54_x143_y323	121.691	114.766	0.9967911802976241	1.0652112983415123
55	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n55_x309_y316	121.208	115.964	0.9928348471252141	1.0763306467148384
56	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n56_x248_y324	120.642	116.684	0.9881986471757646	1.0830133936503932
57	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n57_x407_y323	121.282	117.473	0.9934409934083576	1.0903365705006054
58	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n58_x208_y318	122.262	122.66	1.0014683360770158	1.1384801932154984
59	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n59_x464_y315	120.942	115.142	0.9906559969722926	1.0687011772967465
60	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n60_x335_y313	120.035	121.472	0.9832266094207897	1.1274536607718328
61	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n61_x324_y314	120.028	120.524	0.9831692712588707	1.118654710640019
62	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n62_x300_y318	121.425	115.839	0.9946123301447026	1.0751704475940822
63	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n63_x133_y318	120.027	119.876	0.9831610800928823	1.1126402383980198
64	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n64_x418_y310	122.405	115.029	1.0026396728133609	1.067652357291583
65	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n65_x355_y308	123.167	114.857	1.0088813412965418	1.0660559233014226
66	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n66_x202_y312	120.289	120.412	0.98530716558185	1.1176151722278218
67	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n67_x225_y317	122.644	116.034	1.0045973614845947	1.0769803582224617
68	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n68_x215_y311	122.213	115.972	1.0010669689435827	1.0764048994585667
69	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n69_x170_y312	121.416	113.867	0.9945386096508068	1.0568671462650348
70	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n70_x112_y313	119.552	119.812	0.9792702762483796	1.1120462164481926
71	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n71_x253_y315	120.034	115.362	0.9832184182548013	1.0707431277492772
72	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n72_x127_y313	121.793	117.504	0.9976266792284437	1.0906242998825528
73	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n73_x183_y311	121.215	114.165	0.9928921852871331	1.0596330609689173
74	MGGT-AMP-Pulse_xy05_GFP_016.tif	MGGT-AMP-Pulse_xy05_DsRed_016.tif	xy05	16	roi_f16_n74_x427_y308	122.299	114.478	1.0017714092185876	1.0625381995672902
