 	id	imageGFP	imageDsRed	pos	frame	roi_label	GFP	DsRed
1	0	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n0_x485_y350	213.706	98.542
2	1	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n1_x388_y382	157.262	100.203
3	2	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n2_x325_y368	186.204	101.120
4	3	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n3_x146_y368	180.179	99.195
5	4	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n4_x471_y358	164.285	100.372
6	5	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n5_x158_y353	192.005	100.361
7	6	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n6_x453_y341	243.106	98.705
8	7	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n7_x433_y338	306.738	100.431
9	8	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n8_x457_y324	245.659	98.471
10	9	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n9_x177_y321	193.327	100.444
11	10	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n10_x143_y309	163.588	99.658
12	11	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n11_x167_y306	209.814	99.677
13	12	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n12_x426_y309	182.346	99.888
14	13	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n13_x495_y303	172.355	99.691
15	14	pBGT-AMP-Pulse_xy13_GFP_041.tif	pBGT-AMP-Pulse_xy13_DsRed_041.tif	xy13	041	roi_f41_n14_x173_y298	214.564	99.886
